status,name_of_covered_entity,individuals_affected,breach_submission_date,web_description,location_of_breached_information,state,covered_entity_type,type_of_breach,business_associate_present
"current","Health First, Inc.",14171,"09/22/2023","","Email","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Wellstar Health System",728,"09/21/2023","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Lakeview Clinic ",624,"09/21/2023","","Email","MN","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Arkansas Total Care, Inc.",578,"09/21/2023","","Network Server","AR","Health Plan","Hacking/IT Incident","Yes"
"current","Elevate Patient Financial Solutions",5364,"09/20/2023","","Paper/Films","TX","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Virginia Dept. of Medical Assistance Services",1229333,"09/18/2023","","Network Server","VA","Health Plan","Hacking/IT Incident","Yes"
"current","Erlanger Health, Inc.",2753,"09/18/2023","","Other","TN","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Nuance Communications, Inc.",1225054,"09/15/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Oak Valley Hospital District",283629,"09/15/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Temple University Health System,Inc.",430381,"09/15/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Omnicell Specialty Pharmacy Services (OSPS)",661,"09/15/2023","","Email","TX","Business Associate","Hacking/IT Incident","Yes"
"current","Founder Project Rx, Inc.",30836,"09/15/2023","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Peach State Health Plan",1246,"09/15/2023","","Network Server","GA","Health Plan","Hacking/IT Incident","Yes"
"current","Advocates for a Healthy Community Inc dba Jordan Valley Community Health Center",2502,"09/15/2023","","Electronic Medical Record","MO","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","VA Dept. of Medical Assistance Services",928,"09/14/2023","","Network Server","VA","Health Plan","Hacking/IT Incident","Yes"
"current","Pharm-Pacc Corporation",3749,"09/12/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Sutter North Surgery Center ",861,"09/08/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Laboratory Corporation of America Holdings dba LabCorp",1431,"09/08/2023","","Other","NC","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Ryders Health Management LLC ",7252,"09/07/2023","","Network Server","CT","Healthcare Provider","Hacking/IT Incident","No"
"current","United Healthcare Services, Inc. Single Affiliated Covered Entity",315915,"09/07/2023","","Network Server, Other","CT","Health Plan","Unauthorized Access/Disclosure","No"
"current","Roseman University of Health Sciences",4622,"09/06/2023","","Network Server","NV","Healthcare Provider","Hacking/IT Incident","No"
"current","Amerita",219707,"09/05/2023","","Network Server","KS","Healthcare Provider","Hacking/IT Incident","No"
"current","Delta Dental of California",501,"09/05/2023","","Network Server","CA","Health Plan","Hacking/IT Incident","No"
"current","Bienville Orthopaedic Specialists LLC",242986,"09/05/2023","","Network Server","MS","Healthcare Provider","Hacking/IT Incident","No"
"current","Georgia Hand, Shoulder & Elbow, PC",20498,"09/01/2023","","Email","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","Bloom Health Centers",1545,"09/01/2023","","Email","MD","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","North Mississippi Medical Center, Inc.",950,"09/01/2023","","Email","MS","Healthcare Provider","Hacking/IT Incident","No"
"current","MedMinder Systems, Inc.",12146,"09/01/2023","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Enzo Clinical Labs, Inc.",1700,"08/31/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Mountain View Family Practice, PC",5139,"08/31/2023","","Electronic Medical Record, Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Indiana University Health",1191,"08/31/2023","","Network Server","IN","Health Plan","Hacking/IT Incident","Yes"
"current","TTEC Healthcare Solutions ",2953,"08/30/2023","","Other","CO","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","O'Neil Digital Solutions, LLC ",1722,"08/30/2023","","Paper/Films","CA","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","PurFoods, LLC",1229333,"08/25/2023","","Network Server","IA","Healthcare Provider","Hacking/IT Incident","No"
"current","Associates in Pediatric Dentistry",9703,"08/25/2023","","Email","LA","Healthcare Provider","Hacking/IT Incident","No"
"current","Data Media Associates",74730,"08/24/2023","","Other","GA","Business Associate","Hacking/IT Incident","Yes"
"current","Detroit Central City Community Mental Health",1412,"08/24/2023","","Email","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","IEC Group, Inc. dba AmeriBen",74884,"08/24/2023","","Email","ID","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Milan Eye Center",67336,"08/23/2023","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","PRIME THERAPEUTICS LLC",6050,"08/23/2023","","Network Server","MN","Business Associate","Hacking/IT Incident","Yes"
"current","Vecino Health Centers",1339,"08/22/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Serco Inc. Group Health Plan",10140,"08/22/2023","","Network Server","VA","Health Plan","Hacking/IT Incident","Yes"
"current","Absolute Dental Services",10037,"08/21/2023","","Email","NC","Business Associate","Hacking/IT Incident","Yes"
"current","McAlester Regional Health Center",500,"08/21/2023","","Desktop Computer, Network Server","OK","Healthcare Provider","Hacking/IT Incident","No"
"current","The University of Massachusetts Chan Medical School",135394,"08/21/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Health Care Service Corporation",220913,"08/21/2023","","Network Server","IL","Health Plan","Hacking/IT Incident","Yes"
"current","Illinois Department of Public Health",126000,"08/18/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Advanced Reproductive Health Center Ltd., d/b/a Chicago IVF",2603,"08/18/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","Yes"
"current","UofL Health ",8175,"08/18/2023","","Network Server","KY","Healthcare Provider","Hacking/IT Incident","No"
"current","SouthCoast Medical Group, LLC",501,"08/17/2023","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","Morris Hospital & Healthcare Centers",248943,"08/17/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","The Harris Center for Mental Health and IDD",599367,"08/17/2023","","Network Server, Other","TX","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Blue Cross Blue Shield of Arizona",47485,"08/17/2023","","Network Server","AZ","Health Plan","Hacking/IT Incident","Yes"
"current","SysInformation Healthcare Services, LLC",501,"08/17/2023","","Network Server","TX","Business Associate","Hacking/IT Incident","Yes"
"current","United Healthcare Services, Inc. Single Affiliated Covered Entity",527,"08/17/2023","","Network Server","CT","Health Plan","Hacking/IT Incident","Yes"
"current","Baesman Group, Inc.",24757,"08/17/2023","","Network Server","OH","Business Associate","Hacking/IT Incident","Yes"
"current","SUNY at Buffalo School of Dental Medicine",765,"08/16/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","Yes"
"current","A-Family Dental Care Center PC",2800,"08/16/2023","","Network Server","PA","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Kennedy University Hospital, Inc. t/a Jefferson Health ",4140,"08/15/2023","","Other Portable Electronic Device","NJ","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Performance Health Technology",1752076,"08/15/2023","","Network Server","OR","Business Associate","Hacking/IT Incident","Yes"
"current","University of Utah ",3914,"08/15/2023","","Network Server","UT","Health Plan","Hacking/IT Incident","Yes"
"current","Monocacy Valley Dental Brian K. Motz, DDS, PC",4000,"08/15/2023","","Laptop","MD","Healthcare Provider","Theft","No"
"current","Nice Pak Products Inc., Health and Welfare Benefits Plan",8487,"08/14/2023","","Network Server","NJ","Health Plan","Hacking/IT Incident","No"
"current","TRACT Radiology",7810,"08/14/2023","","Network Server","MS","Business Associate","Hacking/IT Incident","Yes"
"current","VNS Health Plans",103775,"08/14/2023","","Network Server","NY","Health Plan","Hacking/IT Incident","Yes"
"current","American National Group, LLC",47711,"08/11/2023","","Network Server","TX","Health Plan","Hacking/IT Incident","No"
"current","Colorado Department of Health Care Policy & Financing",4091794,"08/11/2023","","Network Server","CO","Health Plan","Hacking/IT Incident","Yes"
"current","Three Crowns Park",516,"08/11/2023","","Email","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","El Centro Del Barrio d/b/a CentroMed",350000,"08/11/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","EMS Management and Consultants Inc",223598,"08/10/2023","","Network Server","NC","Business Associate","Hacking/IT Incident","Yes"
"current","Coastal Orthopedics & Sports Medicine of Southwest Florida",501,"08/10/2023","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","iTrust Wellness Group",981,"08/10/2023","","Email","SC","Healthcare Provider","Hacking/IT Incident","No"
"current","Allison Transmission Inc. Health Care Program for Hourly Employees / Wellness Program for Salaried Employees",5330,"08/10/2023","","Network Server","IN","Business Associate","Hacking/IT Incident","Yes"
"current","Madera County",1446,"08/09/2023","","Email","CA","Health Plan","Unauthorized Access/Disclosure","No"
"current","Virginia Dept. of Medical Assistance Services",423824,"08/09/2023","","Network Server","VA","Health Plan","Hacking/IT Incident","Yes"
"current","Sovos Compliance LLC",18261,"08/08/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Lurie Children’s Surgical Foundation ",1997,"08/08/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Harris Eye Care",6267,"08/08/2023","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Premera Blue Cross",33212,"08/08/2023","","Network Server","WA","Health Plan","Hacking/IT Incident","Yes"
"current","Spinal and Sports Care Clinic PS",1100,"08/08/2023","","Network Server","WA","Healthcare Provider","Hacking/IT Incident","No"
"current","Missouri Department of Social Services",739884,"08/07/2023","","Network Server","MO","Health Plan","Hacking/IT Incident","Yes"
"current","Redwood Coast Regional Center",1345,"08/07/2023","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Cranberry Township Emergency Medical Service",1247,"08/07/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Gary Motykie, M.D., a Medical Corporation ",3400,"08/05/2023","","Desktop Computer, Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Radius Global Solutions",600794,"08/04/2023","","Network Server","MN","Business Associate","Hacking/IT Incident","Yes"
"current","Maximus, Inc.",2781617,"08/04/2023","","Network Server","VA","Business Associate","Hacking/IT Incident","Yes"
"current","Indiana University Health",21383,"08/04/2023","","Network Server","IN","Health Plan","Hacking/IT Incident","Yes"
"current","Capital Neurological Surgeons",1769,"08/04/2023","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Brigham and Women's Hospital",987,"08/04/2023","","Network Server","MA","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Unum Group SACE",531732,"08/03/2023","","Network Server","TN","Health Plan","Hacking/IT Incident","No"
"current","Self-insured group health plans sponsored by the City of Dallas",30253,"08/03/2023","","Network Server","TX","Health Plan","Hacking/IT Incident","No"
"current","Cognizant Technologies Solutions U.S. Corporation",7313,"08/03/2023","","Network Server","TX","Business Associate","Hacking/IT Incident","Yes"
"current","Advanced Care Partners, LLC",518,"08/03/2023","","Email","GA","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Plumbers Local 8 Health & Welfare Fund",4790,"08/02/2023","","Email","MO","Health Plan","Hacking/IT Incident","No"
"current","Grane Supply, Inc.",798,"08/01/2023","","Email","PA","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","The Health Plan of West Virginia, Inc.",1292,"08/01/2023","","Network Server","WV","Health Plan","Hacking/IT Incident","No"
"current","HCA Healthcare",11270000,"07/31/2023","","Other","TN","Business Associate","Hacking/IT Incident","Yes"
"current","Johns Hopkins Health System Corporation",2584,"07/31/2023","","Network Server","MD","Business Associate","Hacking/IT Incident","Yes"
"current","Howard County General Hospital",2975,"07/31/2023","","Network Server","MD","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Synergy Healthcare Services",25772,"07/31/2023","","Network Server","GA","Business Associate","Hacking/IT Incident","Yes"
"current","UC Davis Health",3201,"07/28/2023","","Email","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Dean Health Service Company, LLC (referenced herein as ""WellFirst Health"")",1027,"07/28/2023","","Network Server","MN","Business Associate","Hacking/IT Incident","Yes"
"current","United Healthcare Services, Inc. Single Affiliated Covered Entity",398319,"07/28/2023","","Network Server","CT","Health Plan","Hacking/IT Incident","No"
"current","Jefferson County Health Center",53827,"07/28/2023","","Network Server","IA","Healthcare Provider","Hacking/IT Incident","No"
"current","The Chattanooga Heart Institute",170450,"07/28/2023","","Network Server","TN","Healthcare Provider","Hacking/IT Incident","No"
"current","Allegheny County ",689686,"07/28/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Florida Health Sciences Center, Inc. dba Tampa General Hospital ",2430920,"07/28/2023","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Centers for Medicare & Medicaid Services",2342357,"07/28/2023","","Network Server","MD","Health Plan","Hacking/IT Incident","Yes"
"current","Gladden Farms Family Dentistry",3085,"07/27/2023","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","CareSource",3180537,"07/27/2023","","Network Server","OH","Business Associate","Unauthorized Access/Disclosure","No"
"current","Saint Francis Health System",18911,"07/26/2023","","Network Server","OK","Healthcare Provider","Hacking/IT Incident","No"
"current","Hillsborough County, Florida (County Government)",70636,"07/26/2023","","Other","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Life Management Center of Northwest Florida, Inc. ",19107,"07/25/2023","","Network Server","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Family Vision of Anderson, P.A.",62631,"07/25/2023","","Network Server","SC","Healthcare Provider","Hacking/IT Incident","No"
"current","Bi-Bett Corporation",4722,"07/25/2023","","Email","CA","Business Associate","Hacking/IT Incident","Yes"
"current","Johns Hopkins Medicine",310405,"07/25/2023","","Network Server","MD","Healthcare Provider","Hacking/IT Incident","No"
"current","UT Southwestern Medical Center",98437,"07/24/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Sutter Senior Care ",519,"07/22/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Paramedic Billing Services",501,"07/21/2023","","Network Server","IL","Healthcare Clearing House","Hacking/IT Incident","No"
"current","Harris County Hospital District d/b/a Harris Health System ",455676,"07/21/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Batesville Tool & Die, Inc.",574,"07/21/2023","","Network Server","IN","Health Plan","Hacking/IT Incident","No"
"current","Pennsylvania Department of Human Services",16390,"07/21/2023","","Other","PA","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","New England Life Care, Inc.",51854,"07/21/2023","","Network Server","ME","Healthcare Provider","Hacking/IT Incident","No"
"current","Mindful Innovations, PLLC",1900,"07/20/2023","","Desktop Computer, Electronic Medical Record, Email, Laptop","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Stephen Harkins, DDS, PC, dba: Harkins Pain & Sleep Management Group",6411,"07/18/2023","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","Associated Pathologists, LLC dba PathGroup Health Plan",2031,"07/18/2023","","Network Server","TN","Health Plan","Hacking/IT Incident","Yes"
"current","ACUPUNCTURE AND INTEGRATIVE SOLUTIONS INCORPORATED",750,"07/18/2023","","Network Server","OH","Healthcare Provider","Hacking/IT Incident","No"
"current","IVF Michigan, P.C.",9383,"07/18/2023","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Fairfax Oral and Maxillofacial Surgery ",208194,"07/14/2023","","Network Server","VA","Healthcare Provider","Hacking/IT Incident","No"
"current","Pension Benefit Information, LLC",1866694,"07/14/2023","","Network Server","MN","Business Associate","Hacking/IT Incident","Yes"
"current","The Pavillion at Health Park, LLC dba Park Royal Hospital",500,"07/14/2023","","Email","FL","Healthcare Provider","Hacking/IT Incident","No"
"current","Care N' Care Insurance Company, Inc.",33032,"07/14/2023","","Network Server","TX","Health Plan","Hacking/IT Incident","Yes"
"current","Wake Family Eye Care",14264,"07/14/2023","","Network Server","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","East Houston Med And Ped Clinic",10000,"07/13/2023","","Paper/Films","TX","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Konen & Associates dba Unified Pain Management ",500,"07/12/2023","","Email","TX","Healthcare Provider","Hacking/IT Incident","No"
"current","Molina Healthcare",7702,"07/11/2023","","Network Server","CA","Health Plan","Hacking/IT Incident","Yes"
"current","Charles George Department of Veterans Affairs Medical Center",1541,"07/11/2023","","Email","NC","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","The Vitality Group, LLC",17971,"07/11/2023","","Network Server","IL","Business Associate","Hacking/IT Incident","Yes"
"current","Arizona State Urological Institute ",1626,"07/10/2023","","Email","AZ","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Catholic Charities of the Archdiocese of Newark",501,"07/07/2023","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","Precision Anesthesia Billing LLC",209200,"07/07/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Miracle-Ear Flagship, LLC",3560,"07/07/2023","","Email","MN","Healthcare Provider","Hacking/IT Incident","No"
"current","Parsley Health, Inc. ",1004,"07/07/2023","","Network Server","NY","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Norton Healthcare Inc.",501,"07/07/2023","","Network Server","KY","Healthcare Provider","Hacking/IT Incident","No"
"current","Public Health Management Corporation",501,"07/06/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","edgeMED Healthcare, LLC",6700,"07/06/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Phoenician Medical Center, Inc",162500,"07/05/2023","","Network Server","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","Mountain View Hospital ",1043,"07/03/2023","","Network Server","ID","Healthcare Provider","Hacking/IT Incident","No"
"current","AHCCCS",2632,"06/30/2023","","Network Server","AZ","Health Plan","Unauthorized Access/Disclosure","No"
"current","Deanco Healthcare LLC dba Mission Community Hospital",500,"06/30/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Imagine360",132807,"06/30/2023","","Network Server","PA","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Orrick, Herrington & Sutcliffe LLP",40823,"06/30/2023","","Network Server","CA","Business Associate","Hacking/IT Incident","Yes"
"current","ARx Patient Solutions",41166,"06/30/2023","","Email","KS","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Mount Desert Island Hospital, Inc.",24180,"06/30/2023","","Network Server","ME","Healthcare Provider","Hacking/IT Incident","No"
"current","South Suburban Surgical Suites, LLC",5340,"06/30/2023","","Email","IN","Healthcare Provider","Hacking/IT Incident","No"
"current","Advanced Medical Management, LLC",319485,"06/29/2023","","Network Server","MD","Business Associate","Hacking/IT Incident","Yes"
"current","Partnership Health Center",8331,"06/29/2023","","Email","MT","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Henrietta Johnson Medical Center",500,"06/27/2023","","Network Server","DE","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Itasca County Health & Human Services",1413,"06/27/2023","","Email","MN","Healthcare Provider","Hacking/IT Incident","No"
"current","Activate Healthcare LLC",93761,"06/23/2023","","Network Server","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Senior Choice, Inc. d/b/a The Atrium(216 Main St, Johnstown, PA) Beacon Ridge(1515 Wayne Ave, Indiana, PA) & The Patriot(495 W Patriot St, Somerset PA",500,"06/23/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","The Williamsport Home",500,"06/23/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Desert Physicians Management",56556,"06/22/2023","","Network Server","CA","Business Associate","Hacking/IT Incident","Yes"
"current","GlobalHealth Holdings, LLC",622,"06/22/2023","","Network Server","OK","Health Plan","Hacking/IT Incident","Yes"
"current","Vitra Home Care, LLC",658,"06/22/2023","","Email","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Limbach Facility Services LLC Group Benefit Plan",1392,"06/22/2023","","Network Server","PA","Health Plan","Hacking/IT Incident","No"
"current","DMS Health Technologies, Inc. ",48336,"06/21/2023","","Network Server","ND","Healthcare Provider","Hacking/IT Incident","No"
"current","Murfreesboro Medical Clinic & SurgiCenter",559000,"06/21/2023","","Network Server","TN","Healthcare Provider","Hacking/IT Incident","No"
"current","City of San Luis",6848,"06/20/2023","","Email","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","Community Research Foundation",30236,"06/20/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Quatela Center for Plastic Surgery",1085,"06/20/2023","","Email","NY","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","Kannact, Inc.",103547,"06/20/2023","","Network Server","OR","Business Associate","Hacking/IT Incident","Yes"
"current","VINCERA IMAGING LLC",5000,"06/20/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","VINCERA REHAB LLC",5000,"06/20/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","VINCERA SURGERY CENTER",5000,"06/20/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","CORE PERFORMANCE PHYSICIANS, DBA VINCERA CORE PHYSICIANS",10000,"06/20/2023","","Network Server","PA","","Hacking/IT Incident","No"
"current","Peachtree Orthopaedic Clinic, P.A.",34691,"06/19/2023","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","Atrium Health Wake Forest Baptist ",3679,"06/16/2023","","Email","NC","Healthcare Provider","Hacking/IT Incident","No"
"current","Core Recovery, Inc.",2656,"06/16/2023","","Email","AZ","Healthcare Provider","Hacking/IT Incident","No"
"current","New Horizons Medical, Inc",12317,"06/16/2023","","Network Server","MA","Healthcare Provider","Hacking/IT Incident","No"
"current","Parker Drilling Company Group Health and Flexible Benefit Plan",5973,"06/15/2023","","Network Server","TX","Health Plan","Hacking/IT Incident","No"
"current","Great Valley Cardiology",181764,"06/12/2023","","Network Server","PA","Healthcare Provider","Hacking/IT Incident","No"
"current","Idaho Department of Health & Welfare",2501,"06/12/2023","","Network Server","ID","Health Plan","Unauthorized Access/Disclosure","Yes"
"current","Atlanta Women's Health Group, P.C.",33839,"06/11/2023","","Network Server","GA","Healthcare Provider","Hacking/IT Incident","No"
"current","HC3, Inc",1105,"06/11/2023","","Paper/Films","AL","Business Associate","Unauthorized Access/Disclosure","Yes"
"current","Valley Obstetrics & Gynecology PC",500,"06/09/2023","","Network Server","UT","Healthcare Provider","Hacking/IT Incident","No"
"current","Uponor North America",1048,"06/08/2023","","Network Server","MN","Health Plan","Hacking/IT Incident","No"
"current","Intellihartx, LLC",489830,"06/08/2023","","Network Server","TN","Business Associate","Hacking/IT Incident","Yes"
"current","Marshall & Melhorn, LLC",9412,"06/07/2023","","Network Server","OH","Business Associate","Hacking/IT Incident","Yes"
"current","Utah Medicaid, Division of Integrated Healthcare: Utah Department of Health and Human Services",5800,"06/06/2023","","Paper/Films","UT","Health Plan","Unauthorized Access/Disclosure","Yes"
"current","Ascension Providence",1415,"06/06/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Ascension Seton",17191,"06/06/2023","","Network Server","TX","Healthcare Provider","Hacking/IT Incident","Yes"
"current","Southeast Nursing and Rehab Center",600,"06/06/2023","","Other, Paper/Films","TX","Healthcare Provider","Improper Disposal","No"
"current","Enzo Clinical Labs, Inc.",2470000,"06/05/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","South Jersey Behavorial Health Resources, Inc.",501,"06/04/2023","","Network Server","NJ","Healthcare Provider","Hacking/IT Incident","No"
"current","John N. Evans, DPM",15512,"06/03/2023","","Network Server","MI","Healthcare Provider","Hacking/IT Incident","No"
"current","Unified Operations Virginia LP",501,"06/02/2023","","Network Server","FL","Business Associate","Hacking/IT Incident","Yes"
"current","Mississippi Children’s Home Society, CARES Center, Inc., Mississippi Children’s Home Services, Inc., d.b.a. Canopy Children’s Solutions",501,"06/02/2023","","Network Server","MS","Healthcare Provider","Hacking/IT Incident","No"
"current","CareNet Medical Group, PC",10059,"06/02/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","T. Rowe Price Group, Inc.",684,"06/02/2023","","Network Server","MD","Health Plan","Hacking/IT Incident","Yes"
"current","Elgon Information Systems",31248,"06/02/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","EpiSource",1206,"06/02/2023","","Network Server","MN","Business Associate","Hacking/IT Incident","Yes"
"current","Mercy Medical Center - Clinton, Inc.",20865,"06/02/2023","","Network Server","IA","Healthcare Provider","Hacking/IT Incident","No"
"current","Petaluma Health Center",124862,"06/02/2023","","Network Server","CA","Healthcare Provider","Hacking/IT Incident","No"
"current","Maimonides Medical Center",33000,"06/01/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Pain Relief Centers PA",7000,"06/01/2023","","Electronic Medical Record","NC","Healthcare Provider","Unauthorized Access/Disclosure","No"
"current","iSpace, Inc.",24382,"05/31/2023","","Network Server","CA","Business Associate","Hacking/IT Incident","Yes"
"current","Advanced Healthcare Solutions",3690,"05/31/2023","","Network Server","TX","Health Plan","Hacking/IT Incident","No"
"current","Builders FirstSource Flex Plan",3690,"05/30/2023","","Network Server","TX","Health Plan","Hacking/IT Incident","No"
"current","Alvaria, Inc.",996,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",1389,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",1191,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",1518,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",524,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",507,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",983,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Onix Group",319500,"05/26/2023","","Network Server","PA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",803,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","North Shore Medical Labs",500,"05/26/2023","","Network Server","NY","Healthcare Provider","Hacking/IT Incident","No"
"current","Alvaria, Inc.",1147,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",537,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",796,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",1097,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Alvaria, Inc.",916,"05/26/2023","","Network Server","MA","Business Associate","Hacking/IT Incident","Yes"
"current","Sparta Community Hospital District",900,"05/26/2023","","Email","IL","Healthcare Provider","Hacking/IT Incident","No"
"current","Managed Care of North America (MCNA)",8861076,"05/26/2023","","Network Server","GA","Business Associate","Hacking/IT Incident","Yes"
"current","South Jersey Behavioral Health Resources, Inc.",2193,"05/26/2023","","Email","NJ","Healthcare Provider","Hacking/IT Incident","No"
